,tree_id,width_cm_mid,width_cm_mid,X,X,Y,Y,Z,Z,number_of_trees
,,mean,std,median,std,median,std,median,std,count
0,-1.0,48.28,24.68,-1.61,9.65,0.11,0.74,0.53,5.94,52
1,0.0,72.87,4.19,4.08,0.02,0.17,0.02,1.04,0.01,11
2,1.0,46.95,3.48,4.97,0.01,0.12,0.01,-0.58,0.0,10
3,2.0,,,4.73,0.04,0.16,0.03,1.01,0.01,4
4,3.0,63.18,7.94,4.93,0.03,0.14,0.0,0.35,0.0,3
5,4.0,31.29,4.78,3.91,0.01,0.12,0.01,-0.52,0.0,22
6,5.0,50.8,30.26,4.67,0.0,0.14,0.0,0.39,0.01,3
7,6.0,74.87,6.79,3.0,0.01,0.19,0.01,1.09,0.04,17
8,7.0,44.35,11.45,4.45,0.02,0.11,0.01,0.41,0.01,18
9,8.0,70.16,23.02,3.56,0.02,0.16,0.01,1.07,0.0,9
10,9.0,35.98,13.58,3.46,0.03,0.12,0.01,0.44,0.01,9
11,10.0,41.59,11.33,2.39,0.01,0.19,0.02,1.1,0.02,14
12,11.0,22.97,2.56,2.89,0.0,0.11,0.01,-0.49,0.0,12
13,12.0,30.69,4.03,2.44,0.0,0.11,0.01,0.48,0.01,8
14,13.0,41.97,5.06,1.94,0.01,0.1,0.01,-0.45,0.0,13
15,14.0,75.47,6.4,0.85,0.01,0.1,0.02,1.1,0.01,11
16,15.0,33.78,4.83,1.41,0.03,0.1,0.0,0.51,0.02,17
17,16.0,36.73,3.54,0.92,0.01,0.1,0.0,-0.43,0.0,9
18,17.0,30.43,2.47,0.87,0.02,-0.13,0.02,-0.42,0.01,3
19,18.0,38.25,5.14,-0.55,0.04,0.08,0.01,0.55,0.01,17
20,19.0,20.82,5.13,-0.0,0.0,0.1,0.01,-0.4,0.01,10
21,20.0,41.74,2.99,-1.48,0.02,0.08,0.01,0.58,0.01,16
22,21.0,25.94,4.37,-1.06,0.01,0.08,0.01,-0.38,0.0,11
23,22.0,36.06,4.71,-1.98,0.02,0.07,0.01,-0.37,0.0,17
24,23.0,46.13,5.11,-2.97,0.01,0.08,0.01,-0.35,0.01,20
25,24.0,35.55,3.8,-3.5,0.01,0.06,0.01,0.6,0.01,14
26,25.0,36.07,1.86,-4.04,0.01,0.07,0.01,-0.32,0.0,11
27,26.0,42.8,3.18,-4.48,0.04,0.07,0.0,0.64,0.02,9
28,27.0,34.28,5.42,-5.12,0.02,0.06,0.01,-0.3,0.01,15
29,28.0,32.41,3.34,-5.41,0.03,0.08,0.01,0.64,0.02,12
30,29.0,41.48,4.54,-5.96,0.01,0.06,0.01,-0.29,0.0,15
31,30.0,13.79,0.33,-6.21,0.08,0.05,0.01,1.03,0.03,7
32,31.0,34.14,2.97,-6.41,0.03,0.06,0.0,0.67,0.01,13
33,32.0,34.37,2.5,-6.89,0.01,0.06,0.01,-0.26,0.0,18
34,33.0,43.63,2.33,-7.33,0.04,0.05,0.01,0.67,0.02,11
35,34.0,43.52,1.82,-8.24,0.02,0.03,0.0,0.69,0.01,5
